id;name;employees;glassdoor;headquarter;domains
1;spew oh zowie;8108;22313.15;which;oof outdo gosh
2;warmly treasure;18272;24917.25;afterwards;huzzah judicious
3;yippee during aside;22859;17965.31;teriyaki;harp entire foolishly
4;aside firm;24454;26269.19;veg;mundane pfft
5;ideal righteously offset;25055;20130.01;inwardly silk;whether
6;unscramble separately exterior;14245;22980.88;annual onto;couch
7;advocate colorize;21547;9430.84;however squirm;whereas as
8;iridescence whoa;5265;14226.42;serialize within on;deplore bind
9;overdue pip;23246;28966.14;deceivingly because;unlike sideboard psst
10;enormously;13629;20692.24;probate;whether
